episode,avg_test_hit,phase1_hit,phase2_hit,avg_ndcg,train_loss
5000,0.0516,0.0662,0.0371,0.0955,0.7387
10000,0.1311,0.2186,0.0436,0.1742,0.2695
15000,0.2998,0.4243,0.1753,0.3488,0.2833
20000,0.3457,0.4374,0.2540,0.3881,0.5003
25000,0.3947,0.4633,0.3260,0.4235,0.5921
30000,0.4120,0.4790,0.3450,0.4423,0.6335
35000,0.4110,0.4766,0.3455,0.4375,0.6442
40000,0.4194,0.4769,0.3619,0.4441,0.6573
45000,0.4266,0.4884,0.3647,0.4509,0.6581
50000,0.4295,0.4909,0.3681,0.4541,0.6585
55000,0.4291,0.4916,0.3666,0.4578,0.6593
60000,0.4246,0.4750,0.3741,0.4458,0.6645
65000,0.4327,0.4919,0.3734,0.4549,0.6676
70000,0.4354,0.4917,0.3791,0.4560,0.6623
75000,0.4423,0.4883,0.3964,0.4619,0.6715
80000,0.4470,0.4959,0.3981,0.4709,0.6763
85000,0.4427,0.5019,0.3834,0.4650,0.6784
