episode,avg_test_hit,phase1_hit,phase2_hit,avg_ndcg,train_loss
5000,0.0557,0.0600,0.0514,0.0567,0.8020
10000,0.0566,0.0876,0.0257,0.1094,0.2893
15000,0.2776,0.4407,0.1145,0.3396,0.2334
20000,0.3469,0.3993,0.2945,0.3806,0.4421
25000,0.4147,0.4622,0.3672,0.4403,0.5735
30000,0.4256,0.4953,0.3559,0.4545,0.6314
35000,0.4379,0.4938,0.3821,0.4630,0.6433
40000,0.4395,0.4991,0.3798,0.4652,0.6471
45000,0.4433,0.5017,0.3848,0.4689,0.6574
50000,0.4464,0.5033,0.3895,0.4711,0.6527
55000,0.4566,0.5109,0.4024,0.4784,0.6659
60000,0.4583,0.5162,0.4003,0.4805,0.6548
65000,0.4620,0.5209,0.4031,0.4842,0.6581
70000,0.4660,0.5259,0.4062,0.4874,0.6569
75000,0.4632,0.5236,0.4028,0.4845,0.6670
80000,0.4634,0.5202,0.4067,0.4851,0.6595
85000,0.4684,0.5229,0.4140,0.4881,0.6538
90000,0.4656,0.5238,0.4074,0.4880,0.6612
95000,0.4729,0.5245,0.4214,0.4913,0.6609
100000,0.4720,0.5247,0.4193,0.4912,0.6639
105000,0.4682,0.5205,0.4159,0.4884,0.6655
110000,0.4783,0.5305,0.4260,0.4964,0.6695
115000,0.4755,0.5298,0.4212,0.4942,0.6660
120000,0.4748,0.5319,0.4178,0.4941,0.6682
125000,0.4803,0.5283,0.4322,0.4976,0.6641
130000,0.4784,0.5264,0.4305,0.4958,0.6678
135000,0.4803,0.5264,0.4341,0.4977,0.6702
140000,0.4708,0.5297,0.4119,0.4910,0.6654
145000,0.4792,0.5340,0.4245,0.4977,0.6645
150000,0.4793,0.5222,0.4364,0.4970,0.6720
155000,0.4778,0.5207,0.4348,0.4938,0.6701
160000,0.4786,0.5307,0.4266,0.4974,0.6739
165000,0.4741,0.5248,0.4234,0.4926,0.6674
170000,0.4830,0.5284,0.4376,0.4994,0.6741
175000,0.4804,0.5203,0.4405,0.4954,0.6736
