episode,avg_test_hit,phase1_hit,phase2_hit,avg_ndcg,train_loss
180000,0.4809,0.5341,0.4276,0.4985,0.6722
185000,0.4847,0.5357,0.4336,0.5022,0.6717
190000,0.4816,0.5324,0.4309,0.4992,0.6737
195000,0.4832,0.5376,0.4288,0.5007,0.6761
200000,0.4817,0.5328,0.4307,0.4995,0.6768
205000,0.4851,0.5300,0.4402,0.5018,0.6707
210000,0.4828,0.5316,0.4340,0.5000,0.6741
215000,0.4850,0.5350,0.4350,0.5017,0.6775
220000,0.4874,0.5300,0.4448,0.5027,0.6801
225000,0.4847,0.5326,0.4369,0.5018,0.6723
230000,0.4813,0.5322,0.4303,0.4995,0.6805
235000,0.4829,0.5336,0.4322,0.5009,0.6781
240000,0.4882,0.5329,0.4434,0.5039,0.6737
245000,0.4817,0.5255,0.4379,0.4988,0.6799
250000,0.4841,0.5305,0.4376,0.4997,0.6751
255000,0.4866,0.5321,0.4410,0.5032,0.6818
260000,0.4859,0.5271,0.4448,0.5013,0.6815
265000,0.4848,0.5347,0.4350,0.5017,0.6773
270000,0.4899,0.5364,0.4434,0.5060,0.6766
275000,0.4876,0.5357,0.4395,0.5036,0.6775
280000,0.4924,0.5343,0.4505,0.5073,0.6801
285000,0.4845,0.5331,0.4359,0.5013,0.6763
290000,0.4898,0.5391,0.4405,0.5064,0.6798
295000,0.4911,0.5372,0.4450,0.5071,0.6829
300000,0.4914,0.5429,0.4398,0.5085,0.6847
305000,0.4883,0.5303,0.4462,0.5034,0.6801
310000,0.4904,0.5341,0.4467,0.5053,0.6768
315000,0.4891,0.5312,0.4469,0.5038,0.6845
320000,0.4944,0.5371,0.4517,0.5090,0.6864
325000,0.4909,0.5316,0.4503,0.5053,0.6873
330000,0.4934,0.5381,0.4486,0.5085,0.6814
335000,0.4907,0.5359,0.4455,0.5066,0.6872
340000,0.4885,0.5314,0.4457,0.5046,0.6874
345000,0.4920,0.5331,0.4509,0.5070,0.6823
350000,0.4949,0.5329,0.4569,0.5090,0.6831
355000,0.4914,0.5250,0.4578,0.5043,0.6790
360000,0.4892,0.5288,0.4497,0.5035,0.6796
365000,0.4928,0.5347,0.4510,0.5081,0.6779
370000,0.4897,0.5367,0.4426,0.5051,0.6836
375000,0.4894,0.5302,0.4486,0.5041,0.6834
380000,0.4878,0.5279,0.4478,0.5039,0.6840
385000,0.4930,0.5338,0.4522,0.5075,0.6825
390000,0.4919,0.5388,0.4450,0.5076,0.6874
395000,0.4901,0.5329,0.4472,0.5052,0.6813
400000,0.4948,0.5357,0.4540,0.5093,0.6847
405000,0.4957,0.5353,0.4560,0.5096,0.6861
410000,0.4896,0.5276,0.4516,0.5045,0.6803
415000,0.4903,0.5286,0.4519,0.5051,0.6847
420000,0.4909,0.5334,0.4484,0.5060,0.6851
425000,0.4942,0.5350,0.4534,0.5088,0.6839
430000,0.4914,0.5319,0.4509,0.5054,0.6821
435000,0.4919,0.5366,0.4472,0.5077,0.6810
440000,0.4959,0.5400,0.4519,0.5107,0.6852
445000,0.4934,0.5402,0.4467,0.5092,0.6888
450000,0.4908,0.5383,0.4433,0.5071,0.6890
455000,0.4958,0.5362,0.4553,0.5101,0.6854
460000,0.4952,0.5374,0.4529,0.5099,0.6874
465000,0.4971,0.5334,0.4607,0.5106,0.6889
470000,0.4945,0.5429,0.4460,0.5103,0.6792
475000,0.4955,0.5348,0.4562,0.5096,0.6819
480000,0.4953,0.5360,0.4547,0.5095,0.6865
485000,0.4953,0.5341,0.4564,0.5092,0.6873
490000,0.4947,0.5353,0.4540,0.5094,0.6855
495000,0.4916,0.5364,0.4469,0.5072,0.6830
500000,0.4961,0.5384,0.4538,0.5104,0.6826
